timestamp,metric_name,metric_type,metric_value,service_name,pod_name,container_id,label_area,label_env,help_text
2026-03-05T09:00:00.000Z,process_cpu_usage,gauge,0.34,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,CPU up due to GC pressure
2026-03-05T09:15:00.000Z,jvm_memory_used_bytes,gauge,838860800,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,heap,prod-sim,ANOMALY A3 - heap at 78% of max
2026-03-05T09:15:00.000Z,jvm_gc_pause_seconds_sum,counter,9.30,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,GC thrashing
2026-03-05T09:15:00.000Z,process_cpu_usage,gauge,0.61,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,High CPU from GC
2026-03-05T09:15:00.000Z,db_connection_pool_active,gauge,9,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Pool nearly exhausted
2026-03-05T09:15:00.000Z,db_connection_pool_idle,gauge,1,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Only 1 idle connection left
2026-03-05T09:29:45.000Z,jvm_memory_used_bytes,gauge,1040187392,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,heap,prod-sim,ANOMALY A3 - heap at 96.9% - OOM imminent
2026-03-05T09:29:45.000Z,jvm_gc_pause_seconds_sum,counter,24.70,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,GC spending almost all time collecting
2026-03-05T09:29:45.000Z,process_cpu_usage,gauge,0.94,terminal-handler,terminal-handler-pod-7d9f-xk2lp,a3f2b19c04d1,,prod-sim,Near 100% CPU from GC
2026-03-05T09:30:15.000Z,jvm_memory_used_bytes,gauge,209715200,terminal-handler,terminal-handler-pod-7d9f-xk2lp,b7e91d33ff02,heap,prod-sim,ANOMALY A4 - new container after restart 1 - heap reset
2026-03-05T09:30:15.000Z,jvm_gc_pause_seconds_sum,counter,0.05,terminal-handler,terminal-handler-pod-7d9f-xk2lp,b7e91d33ff02,,prod-sim,GC reset after restart
2026-03-05T09:30:15.000Z,process_cpu_usage,gauge,0.07,terminal-handler,terminal-handler-pod-7d9f-xk2lp,b7e91d33ff02,,prod-sim,CPU reset after restart
2026-03-05T09:33:00.000Z,jvm_memory_used_bytes,gauge,890iembre,terminal-handler,terminal-handler-pod-7d9f-xk2lp,b7e91d33ff02,heap,prod-sim,ANOMALY A4 - heap climbing again fast (leak persists)
2026-03-05T09:33:40.000Z,jvm_memory_used_bytes,gauge,1040187392,terminal-handler,terminal-handler-pod-7d9f-xk2lp,b7e91d33ff02,heap,prod-sim,ANOMALY A4 - OOM again before second restart
2026-03-05T09:33:55.000Z,jvm_memory_used_bytes,gauge,209715200,terminal-handler,terminal-handler-pod-7d9f-xk2lp,c9d04e55aa11,heap,prod-sim,ANOMALY A4 - new container after restart 2
2026-03-05T10:00:00.000Z,jvm_memory_used_bytes,gauge,262144000,terminal-handler,terminal-handler-pod-7d9f-xk2lp,c9d04e55aa11,heap,prod-sim,Heap stable after restart 2 (leak rate slowing)
2026-03-05T10:00:00.000Z,terminal_handler_transactions_processed_total,counter,412,terminal-handler,terminal-handler-pod-7d9f-xk2lp,c9d04e55aa11,,prod-sim,Total transactions processed
2026-03-05T10:00:00.000Z,terminal_handler_transactions_failed_total,counter,23,terminal-handler,terminal-handler-pod-7d9f-xk2lp,c9d04e55aa11,,prod-sim,Total failed transactions - elevated due to anomalies
